id,web_name,now_cost,total_points,form,minutes,expected_goals,expected_assists,expected_goal_involvements,ict_index,chance_of_playing_next_round,position,team_name,base_xP,AI_xP_gw1,AI_xP_gw2,AI_xP_gw3,AI_xP_gw4,AI_xP_gw5,AI_xP_gw6,AI_xP_gw7,AI_xP_gw8,AI_xP_gw9,AI_xP_gw10,AI_xP_gw11,AI_xP_gw12,AI_xP_gw13,AI_xP_gw14,AI_xP_gw15,AI_xP_gw16,AI_xP_gw17,AI_xP_gw18,AI_xP_gw19,AI_xP_gw20,AI_xP_gw21,AI_xP_gw22,AI_xP_gw23,AI_xP_gw24,AI_xP_gw25,AI_xP_gw26,AI_xP_gw27,AI_xP_gw28,AI_xP_gw29,AI_xP_gw30,AI_xP_gw31,AI_xP_gw32,AI_xP_gw33,AI_xP_gw34,AI_xP_gw35,AI_xP_gw36,AI_xP_gw37,AI_xP_gw38
1,Raya,6.1,30,6.0,450,0.0,0.01,0.01,10.6,100.0,GK,Arsenal,3.022380952380953,3.022380952380953,3.022380952380953,3.022380952380953,3.022380952380953,3.022380952380953,3.777976190476191,3.022380952380953,3.022380952380953,2.2667857142857146,3.777976190476191,3.022380952380953,2.2667857142857146,3.022380952380953,3.022380952380953,3.022380952380953,2.2667857142857146,3.022380952380953,3.022380952380953,3.777976190476191,3.022380952380953,3.777976190476191,3.777976190476191,2.2667857142857146,2.2667857142857146,3.777976190476191,3.777976190476191,2.2667857142857146,3.022380952380953,2.2667857142857146,3.777976190476191,3.777976190476191,3.022380952380953,3.022380952380953,3.022380952380953,3.022380952380953,3.022380952380953,3.022380952380953,3.777976190476191
2,Arrizabalaga,4.9,0,0.0,0,0.0,0.0,0.0,0.0,100.0,GK,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Meslier,4.9,0,0.0,0,0.0,0.0,0.0,0.0,100.0,GK,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Gabriel,8.0,25,5.0,450,0.51,0.2,0.71,20.0,100.0,DEF,Arsenal,3.737857142857143,3.737857142857143,3.737857142857143,3.737857142857143,3.737857142857143,3.737857142857143,4.672321428571429,3.737857142857143,3.737857142857143,2.8033928571428572,4.672321428571429,3.737857142857143,2.8033928571428572,3.737857142857143,3.737857142857143,3.737857142857143,2.8033928571428572,3.737857142857143,3.737857142857143,4.672321428571429,3.737857142857143,4.672321428571429,4.672321428571429,2.8033928571428572,2.8033928571428572,4.672321428571429,4.672321428571429,2.8033928571428572,3.737857142857143,2.8033928571428572,4.672321428571429,4.672321428571429,3.737857142857143,3.737857142857143,3.737857142857143,3.737857142857143,3.737857142857143,3.737857142857143,4.672321428571429
5,J.Timber,6.5,1,0.2,104,0.0,0.03,0.03,1.5,100.0,DEF,Arsenal,0.9955270623297108,0.9955270623297108,0.9955270623297108,0.9955270623297108,0.9955270623297108,0.9955270623297108,1.2444088279121384,0.9955270623297108,0.9955270623297108,0.7466452967472831,1.2444088279121384,0.9955270623297108,0.7466452967472831,0.9955270623297108,0.9955270623297108,0.9955270623297108,0.7466452967472831,0.9955270623297108,0.9955270623297108,1.2444088279121384,0.9955270623297108,1.2444088279121384,1.2444088279121384,0.7466452967472831,0.7466452967472831,1.2444088279121384,1.2444088279121384,0.7466452967472831,0.9955270623297108,0.7466452967472831,1.2444088279121384,1.2444088279121384,0.9955270623297108,0.9955270623297108,0.9955270623297108,0.9955270623297108,0.9955270623297108,0.9955270623297108,1.2444088279121384
6,Saliba,5.9,0,0.0,0,0.0,0.0,0.0,0.0,0.0,DEF,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Lewis-Skelly,5.4,9,1.5,271,0.16,0.23,0.39,7.0,100.0,MID,Arsenal,2.2415560791098166,2.2415560791098166,2.2415560791098166,2.2415560791098166,2.2415560791098166,2.2415560791098166,2.8019450988872707,2.2415560791098166,2.2415560791098166,1.6811670593323624,2.8019450988872707,2.2415560791098166,1.6811670593323624,2.2415560791098166,2.2415560791098166,2.2415560791098166,1.6811670593323624,2.2415560791098166,2.2415560791098166,2.8019450988872707,2.2415560791098166,2.8019450988872707,2.8019450988872707,1.6811670593323624,1.6811670593323624,2.8019450988872707,2.8019450988872707,1.6811670593323624,2.2415560791098166,1.6811670593323624,2.8019450988872707,2.8019450988872707,2.2415560791098166,2.2415560791098166,2.2415560791098166,2.2415560791098166,2.2415560791098166,2.2415560791098166,2.8019450988872707
8,Calafiori,5.8,29,5.0,416,0.67,0.62,1.29,19.1,100.0,DEF,Arsenal,3.183525427877848,3.183525427877848,3.183525427877848,3.183525427877848,3.183525427877848,3.183525427877848,3.9794067848473103,3.183525427877848,3.183525427877848,2.387644070908386,3.9794067848473103,3.183525427877848,2.387644070908386,3.183525427877848,3.183525427877848,3.183525427877848,2.387644070908386,3.183525427877848,3.183525427877848,3.9794067848473103,3.183525427877848,3.9794067848473103,3.9794067848473103,2.387644070908386,2.387644070908386,3.9794067848473103,3.9794067848473103,2.387644070908386,3.183525427877848,2.387644070908386,3.9794067848473103,3.9794067848473103,3.183525427877848,3.183525427877848,3.183525427877848,3.183525427877848,3.183525427877848,3.183525427877848,3.9794067848473103
9,Hincapie,5.2,2,0.2,32,0.0,0.0,0.0,1.0,100.0,DEF,Arsenal,0.26443742633231665,0.26443742633231665,0.26443742633231665,0.26443742633231665,0.26443742633231665,0.26443742633231665,0.3305467829153958,0.26443742633231665,0.26443742633231665,0.1983280697492375,0.3305467829153958,0.26443742633231665,0.1983280697492375,0.26443742633231665,0.26443742633231665,0.26443742633231665,0.1983280697492375,0.26443742633231665,0.26443742633231665,0.3305467829153958,0.26443742633231665,0.3305467829153958,0.3305467829153958,0.1983280697492375,0.1983280697492375,0.3305467829153958,0.3305467829153958,0.1983280697492375,0.26443742633231665,0.1983280697492375,0.3305467829153958,0.3305467829153958,0.26443742633231665,0.26443742633231665,0.26443742633231665,0.26443742633231665,0.26443742633231665,0.26443742633231665,0.3305467829153958
10,White,5.5,21,2.5,315,0.18,0.29,0.47,15.2,75.0,DEF,Arsenal,1.9672474747474746,1.9672474747474746,1.9672474747474746,1.9672474747474746,1.9672474747474746,1.9672474747474746,2.459059343434343,1.9672474747474746,1.9672474747474746,1.475435606060606,2.459059343434343,1.9672474747474746,1.475435606060606,1.9672474747474746,1.9672474747474746,1.9672474747474746,1.475435606060606,1.9672474747474746,1.9672474747474746,2.459059343434343,1.9672474747474746,2.459059343434343,2.459059343434343,1.475435606060606,1.475435606060606,2.459059343434343,2.459059343434343,1.475435606060606,1.9672474747474746,1.475435606060606,2.459059343434343,2.459059343434343,1.9672474747474746,1.9672474747474746,1.9672474747474746,1.9672474747474746,1.9672474747474746,1.9672474747474746,2.459059343434343
